coverage	Lee	Lycett	MCMC
3	0.09029414	0.09026444	0.00591989
5	0.08957858	0.08957828	0.00147838
7	0.08997984	0.09001509	0.00114034
9	0.08976782	0.08974483	0.00101588
11	0.08972619	0.08972619	0.0009972
